rt	trial_type	trial_index	trial_index_global	time_elapsed	subject	condition	problems	moveNum	src	category	imageName	init_locationsX	init_locationsY	movesX	movesY	dropTime	dropCorrect	dropPosition	final_locationsX	final_locationsY	problem_type	responseL	responseR
19695	test-sort	0	6	143157	p109296	active	pbp11b	2	lib/images/pbp11b/test/pbp11b_5-4.jpg	right	pbp11b_5-4.jpg	590	306.7142944	191.4285736	556.2142944	6815	0	left	191.4285736	556.2142944	pbp11b	seemed more stable and orderly	seemed more chaotic
19695	test-sort	0	6	143157	p109296	active	pbp11b	3	lib/images/pbp11b/test/pbp11b_4-1.jpg	left	pbp11b_4-1.jpg	590	306.7142944	191.4285736	556.2142944	8189	1	left	191.4285736	556.2142944	pbp11b	seemed more stable and orderly	seemed more chaotic
19695	test-sort	0	6	143157	p109296	active	pbp11b	4	lib/images/pbp11b/test/pbp11b_4-2.jpg	left	pbp11b_4-2.jpg	590	306.7142944	191.4285736	556.2142944	9515	1	left	191.4285736	556.2142944	pbp11b	seemed more stable and orderly	seemed more chaotic
19695	test-sort	0	6	143157	p109296	active	pbp11b	5	lib/images/pbp11b/test/pbp11b_4-4.jpg	right	pbp11b_4-4.jpg	590	306.7142944	988.4196777	556.2142944	11212	1	right	988.4196777	556.2142944	pbp11b	seemed more stable and orderly	seemed more chaotic
19695	test-sort	0	6	143157	p109296	active	pbp11b	6	lib/images/pbp11b/test/pbp11b_5-1.jpg	left	pbp11b_5-1.jpg	590	306.7142944	191.4285736	556.2142944	12519	1	left	191.4285736	556.2142944	pbp11b	seemed more stable and orderly	seemed more chaotic
19695	test-sort	0	6	143157	p109296	active	pbp11b	7	lib/images/pbp11b/test/pbp11b_4-3.jpg	right	pbp11b_4-3.jpg	590	306.7142944	988.4196777	556.2142944	14356	1	right	988.4196777	556.2142944	pbp11b	seemed more stable and orderly	seemed more chaotic
19695	test-sort	0	6	143157	p109296	active	pbp11b	8	lib/images/pbp11b/test/pbp11b_5-3.jpg	right	pbp11b_5-3.jpg	590	306.7142944	191.4285736	556.2142944	15691	0	left	191.4285736	556.2142944	pbp11b	seemed more stable and orderly	seemed more chaotic
22944	survey-text-leftRight	0	7	168128	p109296	active	pbp11b	NA				NA	NA	NA	NA	NA	NA		NA	NA		seemed more stable and orderly	seemed more chaotic
42265	passive-sort	0	1	128181	p111472	passive	pbp28	1	lib/images/pbp34/problem/pbp34_2-2.jpg	left	pbp34_2-2.jpg	535	455	237	241	17375	1	left	237	241	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	2	lib/images/pbp34/problem/pbp34_1-2.jpg	left	pbp34_1-2.jpg	535	235	237	348	20188	1	left	237	348	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	3	lib/images/pbp34/problem/pbp34_2-4.jpg	right	pbp34_2-4.jpg	535	345	942	241	21884	1	right	942	241	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	4	lib/images/pbp34/problem/pbp34_2-1.jpg	left	pbp34_2-1.jpg	645	235	237	455	25707	1	left	237	455	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	5	lib/images/pbp34/problem/pbp34_3-2.jpg	left	pbp34_3-2.jpg	645	455	125	455	28453	1	left	125	455	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	6	lib/images/pbp34/problem/pbp34_1-3.jpg	right	pbp34_1-3.jpg	425	455	942	348	30945	1	right	942	348	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	7	lib/images/pbp34/problem/pbp34_3-1.jpg	left	pbp34_3-1.jpg	755	345	125	348	32883	1	left	125	348	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	8	lib/images/pbp34/problem/pbp34_1-1.jpg	left	pbp34_1-1.jpg	645	345	125	241	34184	1	left	125	241	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	9	lib/images/pbp34/problem/pbp34_3-3.jpg	right	pbp34_3-3.jpg	425	345	1054	455	35614	1	right	1054	455	pbp34	These will roll.	These will not roll.
42265	passive-sort	0	1	128181	p111472	passive	pbp28	10	lib/images/pbp34/problem/pbp34_2-3.jpg	right	pbp34_2-3.jpg	425	235	1054	241	37480	1	right	1054	241	pbp34	These will roll.	These will not roll.
